Scientific Name,Common Name,Species Type,Status,Reason For Change,Year
Planilaoma luckmanii,,Invertebrate,LC,N,2007
Progomphus bellei,Belle's Sanddragon,Invertebrate,NT,N,2007
Somatochlora hineana,Hine's Emerald,Invertebrate,NT,N,2007
Afrocarpus dawei,,Plant,NT,N,2007
Afrocarpus usambarensis,,Plant,VU,N,2007
Chlorocardium rodiei,Greenheart,Plant,DD,N,2007
Dacrydium cornwalliana,,Plant,LC,N,2007
Dacrydium leptophyllum,,Plant,VU,N,2007
Dacrydium spathoides,,Plant,NT,N,2007
Falcatifolium sleumeri,,Plant,NT,N,2007
Hopea subalata,Giam,Plant,CR,N,2007
Microbiota decussata,,Plant,LC,N,2007
Nageia fleuryi,,Plant,NT,N,2007
Pinus bhutanica,,Plant,LC,N,2007
Pinus bungeana,,Plant,LC,N,2007
Pinus dalatensis,,Plant,DD,N,2007
Pinus greggii,,Plant,NT,N,2007
Podocarpus acuminatus,,Plant,NT,N,2007
Podocarpus atjehensis,,Plant,NT,N,2007
Podocarpus barretoi,,Plant,NT,N,2007
Podocarpus borneensis,,Plant,LC,N,2007
Podocarpus capuronii,,Plant,EN,N,2007
Podocarpus costaricensis,,Plant,VU,N,2007
Podocarpus deflexus,,Plant,EN,N,2007
Podocarpus dispermus,,Plant,NT,N,2007
Podocarpus globulus,,Plant,EN,N,2007
Podocarpus guatemalensis,,Plant,LC,N,2007
Podocarpus humbertii,,Plant,EN,N,2007
Podocarpus lambertii,,Plant,NT,N,2007
Podocarpus laubenfelsii,,Plant,EN,N,2007
Podocarpus longifoliolatus,,Plant,EN,N,2007
Podocarpus  matudae,,Plant,NT,N,2007
Podocarpus  palawanensis,,Plant,CR,N,2007
Podocarpus  pallidus,,Plant,VU,N,2007
Podocarpus  pendulifolius,,Plant,EN,N,2007
Podocarpus  perrieri,,Plant,CR,N,2007
Afrocarpus dawei,,Plant,NT,N,2007
Gulo gulo,Wolverine,Mammal,NT,,2008
Mustela nigripes,Black-footed Ferret,Mammal,EN,,2008
Arctocephalus philippii,Juan Fernández Fur Seal,Mammal,NT,,2008
Arctocephalus townsendi,Guadalupe Fur Seal,Mammal,NT,,2008
Balaena mysticetus,Bowhead Whale,Mammal,LC,,2008
Eubalaena australis,Southern Right Whale,Mammal,LC,,2008
Megaptera novaeangliae,Humpback Whale,Mammal,LC,,2008
Bison bonasus,European Bison,Mammal,VU,,2008
Capra pyrenaica,Spanish Ibex,Mammal,LC,,2008
Capra walie,Walia Ibex,Mammal,EN,,2008
Procapra przewalskii,Przewalski's Gazelle,Mammal,EN,,2008
Rupicapra pyrenaica,Pyrenean Chamoix,Mammal,LC,,2008
Eschrichtius robustus,Gray Whale,Mammal,LC,,2008
Pteropus dasymallus,Ryukyu Flying Fox,Mammal,NT,,2008
Pteropus molossinus,Pohnpei Flying Fox,Mammal,VU,,2008
Pteropus samoensis,Samoan Flying Fox,Mammal,NT,,2008
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,Mammal,LC,,2008
Corynorhinus townsendii,Townsend's Big-eared Bat,Mammal,LC,,2008
Myotis emarginatus,Geoffroy's Bat,Mammal,LC,,2008
Myotis grisescens,Gray Myotis,Mammal,NT,,2008
Dasyurus geoffroii,Western Quoll,Mammal,NT,,2008
Dendrolagus lumholtzi,Lumholtz's Tree Kangaroo,Mammal,LC,,2008
Macropus irma,Western Brush Wallaby,Mammal,LC,,2008
Bettongia lesueur,Burrowing Bettong,Mammal,NT,,2008
Pseudochirulus cinereus,Daintree River Ringtail Possum,Mammal,LC,,2008
Pseudochirulus herbertensis,Herbert River Ringtail Possum,Mammal,LC,,2008
Equus ferus,Wild Horse,Mammal,CR,,2008
Equus zebra,Mountain Zebra,Mammal,VU,,2008
Rhinoceros unicornis,Indian Rhinoceros,Mammal,VU,,2008
Leontopithecus chrysopygus,Black Lion Tamarin,Mammal,EN,,2008
Loxodonta africana,African Elephant,Mammal,NT,,2008
Castor fiber,Eurasian Beaver,Mammal,LC,,2008
Leporillus conditor,Greater Stick-nest Rat,Mammal,VU,,2008
Pseudomys fieldi,Shark Bay Mouse,Mammal,VU,,2008
Pseudomys occidentalis,Western Mouse,Mammal,LC,,2008
Spermophilus suslicus,Speckled Ground Squirrel,Mammal,NT,,2008
Spermophilus washingtoni,Washington Ground Squirrel,Mammal,NT,,2008
Panthera pardus,Leopard,Mammal,NT,,2008
Prionailurus planiceps,Flat-headed Cat,Mammal,EN,,2008
,Fishing Cat,Mammal,EN,,2008
Spilogale pygmaea,Pygmy Spotted Skunk,Mammal,VU,,2008
Aonyx cinerea,Asian Small-Clawed Otter,Mammal,VU,,2008
Mustela altaica,Altai Weasel,Mammal,NT,,2008
Vormela peregusna,Marbled Polecat,Mammal,VU,,2008
Arctocephalus galapagoensis,Galápagos Fur Seal,Mammal,EN,,2008
Neophoca cinerea,Australian Sea Lion,Mammal,EN,,2008
Zalophus wollebaeki,Galápagos Sea Lion,Mammal,EN,,2008
Monachus schauinslandi,Hawaiian Monk Seal,Mammal,CR,,2008
Hemigalus derbyanus,Banded Civet,Mammal,VU,,2008
Paradoxurus zeylonensis,Golden Palm Civet,Mammal,VU,,2008
Cephalophus jentinki,Jentink's Duiker,Mammal,EN,,2008
Kobus megaceros,Nile Lechwe,Mammal,EN,,2008
Axis kuhlii,Bawean Deer,Mammal,CR,,2008
Hydropotes inermis,Chinese Water Deer,Mammal,VU,,2008
Rucervus eldii,Eld's Deer,Mammal,EN,,2008
Rusa timorensis,Javan Rusa,Mammal,VU,,2008
Rusa unicolor,Sambar,Mammal,VU,,2008
Sus barbatus,Bearded Pig,Mammal,VU,,2008
Sus celebensis,Sulawesi Warty Pig,Mammal,NT,,2008
Tayassu pecari,White-Lipped Peccary,Mammal,NT,,2008
Amorphochilus schnablii,Smoky Bat,Mammal,EN,,2008
Coelops robinsoni,Malayan Tailless Leaf-nosed Bat,Mammal,VU,,2008
Tadarida johorensis,Northern Free-tailed Bat,Mammal,VU,,2008
Tadarida mops,Malayan Free-tailed Bat,Mammal,NT,,2008
Nycteris tragata,Malayan Slit-faced Bat,Mammal,NT,,2008
Lonchorhina fernandezi,Fernandez's Sword-Nosed Bat,Mammal,EN,,2008
Lonchorhina orinocensis,Orinoco Sword-Nosed Bat,Mammal,VU,,2008
Platyrrhinus chocoensis,Choco Broad-Nosed Bat,Mammal,EN,,2008
Acerodon mackloti,Sunda Fruit Bat,Mammal,VU,,2008
Eidolon helvum,Straw-Coloured Fruit Bat,Mammal,NT,,2008
Megaerops wetmorei,White-collared Fruit Bat,Mammal,VU,,2008
Pteropus caniceps,North Moluccan Flying Fox,Mammal,NT,,2008
Pteropus lylei,Lyle's Flying Fox,Mammal,VU,,2008
Pteropus melanopogon,Black-bearded Flying Fox,Mammal,EN,,2008
Pteropus niger,Mauritan Flying Fox,Mammal,EN,,2008
Pteropus temminckii,Temminck's Flying Fox,Mammal,VU,,2008
Pteropus vampyrus,Large Flying-fox,Mammal,NT,,2008
Pteropus woodfordi,Dwarf Flying Fox,Mammal,VU,,2008
Rousettus bidens,Manado Rousette,Mammal,VU,,2008
Styloctenium wallacei,Stripe-faced Fruit Bat,Mammal,VU,,2008
Rhinolophus cognatus,Andaman Horseshoe Bat,Mammal,EN,,2008
Rhinolophus sedulus,Lesser Wooly Horseshoe Bat,Mammal,NT,,2008
Corynorhinus mexicanus,Mexican Big-eared Bat,Mammal,NT,,2008
Hesperoptenus tomesi,Large False Serotine,Mammal,VU,,2008
Kerivoula pellucida,Clear-winged Woolly Bat,Mammal,NT,,2008
Murina aenea,Bronze Tube-nosed Bat,Mammal,VU,,2008
Murina rozendaali,Gilded Tube-nosed Bat,Mammal,VU,,2008
Phoniscus atrox,Groove-toothed Trumpet-eared Bat,Mammal,NT,,2008
Rhogeessa minutilla,Tiny Yellow Bat,Mammal,VU,,2008
Dasyurus hallucatus,Northern Quoll,Mammal,EN,,2008
Pseudantechinus bilarni,Sandstone Pseudantechinus,Mammal,NT,,2008
Sarcophilus harrisii,Tasmanian Devil,Mammal,EN,,2008
,Mountain Pygmy Possum,Mammal,CR,,2008
Dendrolagus mbaiso,Dingiso,Mammal,CR,,2008
Dendrolagus scottae,Tenkile,Mammal,CR,,2008
Dorcopsis luctuosa,Grey Dorcopsis,Mammal,VU,,2008
Dorcopsulus vanheurni,Small Dorcopsis,Mammal,NT,,2008
Petaurus abidi,Northern Glider,Mammal,CR,,2008
Phalanger lullulae,Woodlark Cuscus,Mammal,EN,,2008
Phalanger matanim,Telefomin Cuscus,Mammal,CR,,2008
Spilocuscus kraemeri,Admiralty Cuscus,Mammal,NT,,2008
Spilocuscus rufoniger,Black-spotted Cuscus,Mammal,CR,,2008
Bettongia penicillata,Woylie,Mammal,CR,,2008
Pseudochirops coronatus,Reclusive Ringtail,Mammal,VU,,2008
Ochotona iliensis,Ili Pika,Mammal,EN,,2008
Equus hemionus,Asiatic Wild Ass,Mammal,EN,,2008
Manis javanica,Sunda Pangolin,Mammal,EN,,2008
Manis pentadactyla,Chinese Pangolin,Mammal,EN,,2008
Saguinus niger,Black-handed Tamarin,Mammal,VU,,2008
Macaca hecki,Heck's Macaque,Mammal,VU,,2008
Macaca nigra,Celebes Crested Macaque,Mammal,CR,,2008
Macaca tonkeana,Tonkean Macaque,Mammal,VU,,2008
Presbytis melalophos,Sumatran Surili,Mammal,EN,,2008
Presbytis thomasi,Thomas’s Langur,Mammal,VU,,2008
Pygathrix cinerea,Grey-shanked Douc Langur,Mammal,CR,,2008
Trachypithecus obscurus,Dusky Leaf-monkey,Mammal,NT,,2008
Hylobates agilis,Agile Gibbon,Mammal,EN,,2008
Hylobates albibarbis,Bornean White-bearded Gibbon,Mammal,EN,,2008
Hylobates klossii,Kloss’s Gibbon,Mammal,EN,,2008
Hylobates lar,Lar Gibbon,Mammal,EN,,2008
Hylobates muelleri,Müller's Bornean Gibbon,Mammal,EN,,2008
Nomascus concolor,Black Crested Gibbon,Mammal,CR,,2008
Symphalangus syndactylus,Siamang,Mammal,EN,,2008
Nycticebus coucang,Greater Slow Loris,Mammal,VU,,2008
Tarsius bancanus,Horsfield’s Tarsier,Mammal,VU,,2008
Abrothrix illuteus,Gray Grass Mouse,Mammal,NT,,2008
Abrothrix sanborni,Sanborn's Grass Mouse,Mammal,NT,,2008
Akodon latebricola,Ecuadorean Grass Mouse,Mammal,VU,,2008
Akodon surdus,Silent Grass Mouse,Mammal,VU,,2008
Arborimus longicaudus,Red Tree Vole,Mammal,NT,,2008
Arvicola sapidus,Southern Water Vole,Mammal,VU,,2008
Calomys hummelincki,Hummelinck's Vesper Mouse,Mammal,VU,,2008
Mesocricetus brandti,Brandt's Hamster,Mammal,NT,,2008
Microtus oaxacensis,Tarabundi Vole,Mammal,EN,,2008
Microtus quasiater,Japalapan Pine Vole,Mammal,NT,,2008
Microtus umbrosus,Zepoal Tepec Vole,Mammal,EN,,2008
Neotoma palatina,Bolano's Woodrat,Mammal,VU,,2008
Reithrodontomys microdon,Small-toothed Harvest Mouse,Mammal,VU,,2008
Reithrodontomys spectabilis,Cozumel Harvest Mouse,Mammal,CR,,2008
Sigmodon alleni,Allen's Cotton Rat,Mammal,VU,,2008
Thomasomys hylophilus,Woodland Oldfield Mouse,Mammal,EN,,2008
Wilfredomys oenax,Greater Wilfred's Mouse,Mammal,EN,,2008
Xenomys nelsoni,Magedelena Wood Rat,Mammal,EN,,2008
Ctenomys australis,Southern Tuco-tuco,Mammal,EN,,2008
Allactaga vinogradovi,Vinogradov's Jerboa,Mammal,NT,,2008
,Goldman's Pocket Mouse,Mammal,VU,,2008
Dipodomys nitratoides,Fresno Kangaroo Rat,Mammal,VU,,2008
Gerbillus gleadowi,Little Hairy-footed Gerbil,Mammal,NT,,2008
Maxomys rajah,Rajah Sundaic Maxomys,Mammal,VU,,2008
Maxomys whiteheadi,Whitehead’s Sundaic Maxomys,Mammal,VU,,2008
Nesokia bunnii,Bunn's Short-Tailed Bandicoot Rat,Mammal,EN,,2008
Niviventer cremoriventer,Sundaic Arboreal Niviventer,Mammal,VU,,2008
Pseudomys fumeus,Smoky Mouse,Mammal,EN,,2008
Pseudomys novaehollandiae,New Holland Mouse,Mammal,VU,,2008
Rattus richardsoni,Glacier Rat,Mammal,VU,,2008
Solomys ponceleti,Poncelet's Giant Rat,Mammal,CR,,2008
Solomys salebrosus,Bougainville Giant Rat,Mammal,EN,,2008
Solomys sapientis,Isabel Giant Rat,Mammal,EN,,2008
Uromys neobritannicus,Bismarck Giant Rat,Mammal,EN,,2008
Zyzomys maini,Arnhem Land Rock Rat,Mammal,NT,,2008
Octodon bridgesi,Bridges's Degu,Mammal,VU,,2008
Octodon pacificus,,Mammal,CR,,2008
Callosciurus adamsi,Ear-spot Squirrel,Mammal,VU,,2008
Callosciurus melanogaster,Mentawai Squirrel,Mammal,VU,,2008
Marmota sibirica,Mongolian marmot,Mammal,EN,,2008
Marmota vancouverensis,Vancouver Island Marmot,Mammal,CR,,2008
Petaurista nobilis,Bhutan Giant Flying Squirrel,Mammal,VU,,2008
Petinomys genibarbis,Whiskered Flying Squirrel,Mammal,VU,,2008
Petinomys lugens,Siberut Flying Squirrel,Mammal,EN,,2008
Petinomys setosus,Temminck's Flying Squirrel,Mammal,VU,,2008
Petinomys vordermanni,Vordermann's Flying Squirrel,Mammal,VU,,2008
Pteromyscus pulverulentus,Smoky Flying Squirrel,Mammal,EN,,2008
Ratufa bicolor,Black Giant Squirrel,Mammal,NT,,2008
Rhinosciurus laticaudatus,Shrew-faced Squirrel,Mammal,NT,,2008
Rubrisciurus rubriventer,Sulawesi Giant Squirrel,Mammal,VU,,2008
Spermophilus perotensis,Perote Ground Squirrel,Mammal,EN,,2008
Ducula galeata,Marquesan Imperial-pigeon,Bird,EN,,2008
Apteryx owenii,Little Spotted Kiwi,Bird,NT,,2008
Aythya baeri,Baer's Pochard,Bird,EN,,2008
Sterna nereis,Fairy Tern,Bird,VU,,2008
Eurynorhynchus pygmeus,Spoon-billed Sandpiper,Bird,CR,,2008
Numenius arquata,Eurasian Curlew,Bird,NT,,2008
Ducula finschii,Finsch's Imperial-pigeon,Bird,NT,,2008
Ducula rubricera,Red-knobbed Imperial-pigeon,Bird,NT,,2008
Reinwardtoena browni,Pied Cuckoo-dove,Bird,NT,,2008
Centropus violaceus,Violaceous Coucal,Bird,NT,,2008
Accipiter princeps,New Britain Goshawk,Bird,VU,,2008
Pauxi pauxi,Helmeted Curassow,Bird,EN,,2008
Tetrao mlokosiewiczi,Caucasian Grouse,Bird,NT,,2008
Atrichornis rufescens,Rufous Scrub-bird,Bird,VU,,2008
Coracina newtoni,Réunion Cuckooshrike,Bird,CR,,2008
,Mariana Crow,Bird,CR,,2008
Loxops caeruleirostris,Akekee,Bird,CR,,2008
Stipiturus mallee,Mallee Emuwren,Bird,EN,,2008
Melidectes whitemanensis,Bismarck Melidectes,Bird,NT,,2008
Mimus trifasciatus,Floreana Mockingbird,Bird,CR,,2008
Megalurulus grosvenori,Bismarck Thicketbird,Bird,VU,,2008
Sylvia undata,Dartford Warbler,Bird,NT,,2008
Diomedea dabbenena,Tristan Albatross,Bird,CR,,2008
Cacatua ophthalmica,Blue-eyed Cockatoo,Bird,VU,,2008
Ninox odiosa,Russet Hawk-owl,Bird,VU,,2008
Tyto aurantia,Bismarck Masked-owl,Bird,VU,,2008
Crocodylus rhombifer,Cuban Crocodile,Reptile,CR,,2008
Erymnochelys madagascariensis,Madagascar Big-headed Turtle,Reptile,CR,,2008
Astrochelys radiata,Radiated Tortoise,Reptile,CR,,2008
Astrochelys yniphora,Ploughshare Tortoise,Reptile,CR,,2008
Pyxis arachnoides,Spider Tortoise,Reptile,CR,,2008
Pyxis planicauda,Flat-tailed Tortoise,Reptile,CR,,2008
Thorius macdougalli,,Amphibian,VU,,2008
Incilius holdridgei,,Amphibian,EX,,2008
Centrolene buckleyi,,Amphibian,VU,,2008
Craugastor escoces,,Amphibian,EX,,2008
Parvimolge townsendi,,Amphibian,CR,,2008
Pseudoeurycea gigantea,,Amphibian,CR,,2008
Pseudoeurycea juarezi,,Amphibian,CR,,2008
Thorius munificus,,Amphibian,CR,,2008
Gulo gulo,Wolverine,Mammal,LC,N,2009
Aceros narcondami,Narcondam Hornbill,Bird,EN,N,2009
Acrocephalus aequinoctialis,Kiritimati Reed-warbler,Bird,EN,N,2009
Acrocephalus luscinius,Nightingale Reed-warbler,Bird,CR,G,2009
Amazilia castaneiventris,Chestnut-bellied Hummingbird,Bird,EN,N,2009
Amazona vinacea,Vinaceous-breasted Amazon,Bird,EN,N,2009
Anodorhynchus leari,Lear's Macaw,Bird,EN,G,2009
Arborophila cambodiana,Chestnut-headed Partridge,Bird,LC,N,2009
Arborophila davidi,Orange-necked Partridge,Bird,NT,N,2009
Balearica regulorum,Grey Crowned-crane,Bird,VU,G,2009
Camarhynchus pauper,Medium Tree-finch,Bird,CR,N,2009
Capito quinticolor,Five-coloured Barbet,Bird,VU,N,2009
Coracina analis,New Caledonian Cuckooshrike,Bird,NT,N,2009
Crax rubra,Great Curassow,Bird,VU,N,2009
Cyanoramphus saisetti,New Caledonian Parakeet,Bird,VU,N,2009
Egretta rufescens,Reddish Egret,Bird,NT,N,2009
Eunymphicus cornutus,Horned Parakeet,Bird,VU,N,2009
Foudia rubra,Mauritius Fody,Bird,EN,G,2009
Geositta poeciloptera,Campo Miner,Bird,VU,N,2009
Grantiella picta,Painted Honeyeater,Bird,VU,G,2009
Gymnomyza aubryana,Crow Honeyeater,Bird,CR,N,2009
Heliopais personatus,Masked Finfoot,Bird,EN,N,2009
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,Bird,EN,N,2009
Heteromirafra sidamoensis,Sidamo Lark,Bird,CR,G,2009
Hypsipetes nicobariensis,Nicobar Bulbul,Bird,NT,N,2009
Locustella pryeri,Marsh Grassbird,Bird,NT,N,2009
Loriculus catamene,Sangihe Hanging-parrot,Bird,NT,N,2009
Lorius garrulus,Chattering Lory,Bird,VU,N,2009
Loxioides bailleui,Palila,Bird,CR,G,2009
Macronectes giganteus,Southern Giant-petrel,Bird,LC,N,2009
Macronectes halli,Northern Giant-petrel,Bird,LC,N,2009
Megalurulus mariei,New Caledonian Grassbird,Bird,LC,N,2009
Menura alberti,Albert's Lyrebird,Bird,NT,G,2009
Neomorphus radiolosus,Banded Ground-cuckoo,Bird,EN,N,2009
Pavo muticus,Green Peafowl,Bird,EN,N,2009
Phylloscartes roquettei,Minas Gerias Tyrannulet,Bird,EN,N,2009
Podiceps gallardoi,Hooded Grebe,Bird,EN,G,2009
Polemaetus bellicosus,Martial Eagle,Bird,NT,N,2009
Primolius couloni,Blue-headed Macaw,Bird,VU,N,2009
Pterodroma axillaris,Chatham Petrel,Bird,EN,G,2009
Pterodroma cookii,Cook's Petrel,Bird,VU,G,2009
Ptilinopus tannensis,Tanna Fruit-dove,Bird,LC,N,2009
Pyrrhura devillei,Blaze-winged Parakeet,Bird,NT,N,2009
Sericulus bakeri,Fire-maned Bowerbird,Bird,NT,N,2009
Spizaetus floris,Fores Hawk-eagle,Bird,CR,N,2009
Suiriri islerorum,Chapada Flycatcher,Bird,NT,G,2009
Tachycineta cyaneoviridis,Bahama Swallow,Bird,EN,N,2009
Terathopius ecaudatus,Bateleur,Bird,NT,N,2009
Todiramphus farquhari,Chestnut-billed Kingfisher,Bird,NT,N,2009
Todiramphus godeffroyi,Marquesan Kingfisher,Bird,CR,G,2009
Tyto soumagnei,Madagascar Red Owl,Bird,VU,N,2009
Aceros narcondami,Narcondam Hornbill,Bird,EN,N,2009
Archaeolacerta bedriagae,Bedriaga's Rock Lizard,Reptile,NT,N,2009
Darevskia alpina,,Reptile,VU,N,2009
Hydrosaurus pustulatus,Crested Lizard,Reptile,VU,N,2009
Iberolacerta aranica,Aran Rock Lizard,Reptile,EN,N,2009
Montivipera bulgardaghica,Mount Bulgar Viper,Reptile,LC,N,2009
Montivipera raddei,Armenian Viper,Reptile,NT,N,2009
Montivipera wagneri,Wagner's Viper,Reptile,CR,N,2009
Podarcis milensis,Miles Wall Lizard,Reptile,VU,N,2009
Vipera latastei,Lataste's Viper,Reptile,VU,N,2009
Vipera latifii,Latifi's Viper,Reptile,EN,N,2009
Vipera pontica,Black Sea Viper,Reptile,EN,N,2009
Vipera ursinii,Meadow Viper,Reptile,VU,N,2009
Archaeolacerta bedriagae,Bedriaga's Rock Lizard,Reptile,NT,N,2009
Bolitoglossa hiemalis,,Amphibian,DD,N,2009
Bolitoglossa hypacra,Paramo Frontino Salamander,Amphibian,LC,N,2009
Bombina pachypus,Appenine Yello-bellied Toad,Amphibian,EN,N,2009
Boophis axelmeyeri,,Amphibian,VU,N,2009
Bufo verrucosissimus,Caucasian Toad,Amphibian,NT,N,2009
Cochranella puyoensis,Puyo Giant Glass Frog,Amphibian,EN,N,2009
